A0,841 x 1189,33.1 x 46.8
A1,594 x 841,23.4 x 33.1
A2,420 x 594,16.5 x 23.4
A3,297 x 420,11.7 x 16.5
A4,210 x 297,8.3 x 11.7
A5,148 x 210,5.8 x 8.3
A6,105 x 148,4.1 x 5.8
A7,74 x 105,2.9 x 4.1
A8,52 x 74,2.0 x 2.9
A9,37 x 52,1.5 x 2.0
A10,26 x 37,1.0 x 1.5
B0,1000 x 1414,39.4 x 55.7
B1,707 x 1000,27.8 x 39.4
B2,500 x 707,19.7 x 27.8
B3,353 x 500,13.9 x 19.7
B4,250 x 353,9.8 x 13.9
B5,176 x 250,6.9 x 9.8
B6,125 x 176,4.9 x 6.9
B7,88 x 125,3.5 x 4.9
B8,62 x 88,2.4 x 3.5
B9,44 x 62,1.7 x 2.4
B10,31 x 44,1.2 x 1.7
C0,917 x 1297,36.1 x 51.1
C1,648 x 917,25.5 x 36.1
C2,458 x 648,18.0 x 25.5
C3,324 x 458,12.8 x 18.0
C4,229 x 324,9.0 x 12.8
C5,162 x 229,6.4 x 9.0
C6,114 x 162,4.5 x 6.4
C7,81 x 114,3.2 x 4.5
C8,57 x 81,2.2 x 3.2
C9,40 x 57,1.6 x 2.2
C10,28 x 40,1.1 x 1.6
