B0,1030 x 1456,40.55 x 57.32
B1,728 x 1030,28.66 x 40.55
B2,515 x 728,20.28 x 28.66
B3,364 x 515,14.33 x 20.28
B4,257 x 364,10.12 x 14.33
B5,182 x 257,7.17 x 10.12
B6,128 x 182,5.04 x 7.17
B7,91 x 128,3.58 x 5.04
B8,64 x 91,2.52 x 3.58
B9,45 x 64,1.77 x 2.52
B10,32 x 45,1.26 x 1.77
B11,22 x 32,0.87 x 1.26
B12,16 x 22,0.63 x 0.87
Shiroku ban 4,264 x 379,10.39 x 14.92
Shiroku ban 5,189 x 262,7.44 x 10.31
Shiroku ban 6,127 x 188,5.00 x 7.40
Kiku 4,227 x 306,8.94 x 12.05
Kiku 5,151 x 227,5.94 x 8.94
